Day,"Ad Set ID","Ad Set Budget","Ad Set Budget Type","Amount Spent (USD)",Impressions,Reach,"Clicks (All)","Result Type",Results,"Cost per Result","Reporting Starts","Reporting Ends"
2018-04-01,6080125526433,1,Daily,0.93,51,44,0,"Estimated Ad Recall Lift (People)",1,0.93,2018-04-01,2018-04-01
2018-04-01,6081769368433,1,Daily,11.78,1598,619,12,"Website Content Views",10,1.178,2018-04-01,2018-04-01
2018-03-31,6080125526433,1,Daily,1.11,58,51,0,"Estimated Ad Recall Lift (People)",10,0.111,2018-03-31,2018-03-31
2018-03-31,6081769368433,1,Daily,9.19,918,400,11,"Website Content Views",8,1.14875,2018-03-31,2018-03-31
2018-03-30,6080125526433,1,Daily,0.81,45,42,0,"Estimated Ad Recall Lift (People)",1,0.81,2018-03-30,2018-03-30
2018-03-30,6081769368433,1,Daily,12.06,927,471,9,"Website Content Views",5,2.412,2018-03-30,2018-03-30
2018-03-29,6081769368433,1,Daily,19.71,1258,645,9,"Website Content Views",4,4.9275,2018-03-29,2018-03-29
2018-03-29,6080125526433,1,Daily,0.62,33,27,0,"Estimated Ad Recall Lift (People)",1,0.62,2018-03-29,2018-03-29
2018-03-28,6081769368433,1,Daily,34.58,3005,1710,13,"Website Content Views",9,3.8422222222222,2018-03-28,2018-03-28
2018-03-28,6080125526433,1,Daily,0.54,29,25,0,"Estimated Ad Recall Lift (People)",1,0.54,2018-03-28,2018-03-28
2018-03-27,6081769368433,1,Daily,55.17,5628,2844,15,"Website Content Views",11,5.0154545454545,2018-03-27,2018-03-27
2018-03-27,6080125526433,1,Daily,3.05,127,106,1,"Estimated Ad Recall Lift (People)",20,0.1525,2018-03-27,2018-03-27
2018-03-26,6081769368433,1,Daily,11.77,546,269,6,"Website Content Views",4,2.9425,2018-03-26,2018-03-26
2018-03-26,6080125526433,1,Daily,0.35,14,14,0,"Estimated Ad Recall Lift (People)",1,0.35,2018-03-26,2018-03-26
2018-03-15,6081769368433,1,Daily,106.96,3934,1410,18,"Website Content Views",11,9.7236363636364,2018-03-15,2018-03-15
2018-03-15,6080125526433,1,Daily,2.26,75,70,0,"Estimated Ad Recall Lift (People)",10,0.226,2018-03-15,2018-03-15
2018-03-14,6081769368433,1,Daily,133.66,4445,1508,31,"Website Content Views",23,5.8113043478261,2018-03-14,2018-03-14
2018-03-14,6080125526433,1,Daily,1.92,65,58,0,"Estimated Ad Recall Lift (People)",10,0.192,2018-03-14,2018-03-14
2018-03-13,6081769368433,1,Daily,34.35,1487,784,19,"Website Content Views",18,1.9083333333333,2018-03-13,2018-03-13
2018-03-13,6081556666233,1,Daily,67.04,9289,2786,63,"Website Content Views",69,0.97159420289855,2018-03-13,2018-03-13
2018-03-13,6080125526433,1,Daily,3.47,197,173,1,"Estimated Ad Recall Lift (People)",30,0.11566666666667,2018-03-13,2018-03-13
2018-03-12,6080125526433,1,Daily,8.73,469,363,1,"Estimated Ad Recall Lift (People)",60,0.1455,2018-03-12,2018-03-12
2018-03-12,6081556666233,1,Daily,64.33,9543,3433,58,"Website Content Views",60,1.0721666666667,2018-03-12,2018-03-12
2018-03-11,6081556666233,1,Daily,47.7,3635,1826,14,"Website Content Views",8,5.9625,2018-03-11,2018-03-11
2018-03-11,6080125526433,1,Daily,5.05,251,231,0,"Estimated Ad Recall Lift (People)",40,0.12625,2018-03-11,2018-03-11
2018-03-10,6081491587833,1,Daily,7.22,1889,837,26,"Website Content Views",20,0.361,2018-03-10,2018-03-10
2018-03-10,6081556666233,1,Daily,29.77,1764,892,14,"Website Content Views",10,2.977,2018-03-10,2018-03-10
2018-03-10,6081393486033,1,Daily,33.64,1779,760,15,"Website Content Views",10,3.364,2018-03-10,2018-03-10
2018-03-10,6080125526433,1,Daily,10.69,734,631,2,"Estimated Ad Recall Lift (People)",70,0.15271428571429,2018-03-10,2018-03-10
2018-03-09,6081356196433,1,Daily,20.42,1433,668,7,"Website Content Views",7,2.9171428571429,2018-03-09,2018-03-09
2018-03-09,6081491587833,1,Daily,40.14,8795,4054,120,"Website Content Views",98,0.40959183673469,2018-03-09,2018-03-09
2018-03-09,6081393125033,1,Daily,3.86,99,66,1,"Website Content Views",1,3.86,2018-03-09,2018-03-09
2018-03-09,6080125526433,1,Daily,11.1,757,606,0,"Estimated Ad Recall Lift (People)",60,0.185,2018-03-09,2018-03-09
2018-03-08,6081355329233,1,Daily,17.75,647,284,8,"Website Content Views",7,2.5357142857143,2018-03-08,2018-03-08
2018-03-08,6081393486033,1,Daily,13.41,370,140,4,"Website Content Views",4,3.3525,2018-03-08,2018-03-08
2018-03-08,6081356196433,1,Daily,12.59,1138,521,6,"Website Content Views",6,2.0983333333333,2018-03-08,2018-03-08
2018-03-08,6081393125033,1,Daily,17.28,839,392,4,"Website Content Views",4,4.32,2018-03-08,2018-03-08
2018-03-08,6080125526433,1,Daily,6.29,252,224,0,"Estimated Ad Recall Lift (People)",20,0.3145,2018-03-08,2018-03-08
2018-03-07,6081355329233,1,Daily,6.63,209,154,1,"Website Content Views",1,6.63,2018-03-07,2018-03-07
2018-03-07,6081356196433,1,Daily,6.12,498,318,8,"Website Content Views",6,1.02,2018-03-07,2018-03-07
2018-03-07,6080125526433,1,Daily,8.77,406,335,0,"Estimated Ad Recall Lift (People)",30,0.29233333333333,2018-03-07,2018-03-07
2018-03-06,6080125526433,1,Daily,3.35,198,169,0,"Estimated Ad Recall Lift (People)",10,0.335,2018-03-06,2018-03-06
2018-03-05,6080125526433,1,Daily,1.89,107,95,0,"Estimated Ad Recall Lift (People)",10,0.189,2018-03-05,2018-03-05
2018-03-04,6080125526433,1,Daily,2.42,144,131,0,"Estimated Ad Recall Lift (People)",10,0.242,2018-03-04,2018-03-04
2018-03-03,6080125526433,1,Daily,2.38,142,126,0,"Estimated Ad Recall Lift (People)",10,0.238,2018-03-03,2018-03-03
2018-03-02,6080125526433,1,Daily,13.43,573,409,2,"Estimated Ad Recall Lift (People)",50,0.2686,2018-03-02,2018-03-02
2018-03-01,6080125526433,1,Daily,6.01,286,228,0,"Estimated Ad Recall Lift (People)",20,0.3005,2018-03-01,2018-03-01
2018-02-28,6080125526433,1,Daily,0.44,22,21,0,"Estimated Ad Recall Lift (People)",1,0.44,2018-02-28,2018-02-28
2018-02-27,6080125526433,1,Daily,2.81,150,128,0,"Estimated Ad Recall Lift (People)",10,0.281,2018-02-27,2018-02-27
2018-02-26,6080125526433,1,Daily,2.68,98,89,1,"Estimated Ad Recall Lift (People)",10,0.268,2018-02-26,2018-02-26
2018-02-25,6080125526433,1,Daily,2.83,142,128,0,"Estimated Ad Recall Lift (People)",10,0.283,2018-02-25,2018-02-25
2018-02-24,6080125526433,1,Daily,5.62,214,188,0,"Estimated Ad Recall Lift (People)",20,0.281,2018-02-24,2018-02-24
2018-02-23,6080125526433,1,Daily,4.39,249,197,0,"Estimated Ad Recall Lift (People)",10,0.439,2018-02-23,2018-02-23
2018-02-22,6080125526433,1,Daily,8.36,372,274,0,"Estimated Ad Recall Lift (People)",20,0.418,2018-02-22,2018-02-22
2018-02-21,6080125526433,1,Daily,0.33,19,16,0,"Estimated Ad Recall Lift (People)",1,0.33,2018-02-21,2018-02-21
2018-02-20,6080125526433,1,Daily,1.88,130,124,0,"Estimated Ad Recall Lift (People)",10,0.188,2018-02-20,2018-02-20
2018-02-19,6080125526433,1,Daily,6.29,210,172,0,"Estimated Ad Recall Lift (People)",20,0.3145,2018-02-19,2018-02-19
2018-02-18,6080125526433,1,Daily,8.89,843,610,3,"Estimated Ad Recall Lift (People)",40,0.22225,2018-02-18,2018-02-18
2018-02-17,6080125526433,1,Daily,5.81,500,362,1,"Estimated Ad Recall Lift (People)",40,0.14525,2018-02-17,2018-02-17
2018-02-15,6080125526433,1,Daily,4.16,330,276,2,"Estimated Ad Recall Lift (People)",30,0.13866666666667,2018-02-15,2018-02-15
2018-02-14,6080125526433,1,Daily,2.08,255,218,0,"Estimated Ad Recall Lift (People)",20,0.104,2018-02-14,2018-02-14
