Day,"Amount Spent (USD)","Result Type",Results,"Results [On Ad]",Reach,Frequency,Impressions,"Clicks (All)","Reporting Starts","Reporting Ends"
2017-03-27,9.02,"Website Registrations Completed",1,,3285,1.6112633181126,5293,35,2017-03-27,2017-03-27
2017-03-26,19.92,"Website Registrations Completed",,,6159,2.1253450235428,13090,69,2017-03-26,2017-03-26
2017-03-25,22.5,"Website Registrations Completed",1,,9685,1.9709860609189,19089,147,2017-03-25,2017-03-25
2017-03-24,23.06,"Website Registrations Completed",,,8685,2.3321819228555,20255,133,2017-03-24,2017-03-24
2017-03-23,20.13,"Website Registrations Completed",,,7874,1.9842519685039,15624,112,2017-03-23,2017-03-23
2017-03-22,19.6,"Website Registrations Completed",1,,6525,2.3245977011494,15168,145,2017-03-22,2017-03-22
2017-03-21,19.31,"Website Registrations Completed",,,6818,2.5492813141684,17381,155,2017-03-21,2017-03-21
2017-03-20,19.41,"Website Registrations Completed",,,7577,2.706612115613,20508,135,2017-03-20,2017-03-20
2017-03-19,20.24,"Website Registrations Completed",1,,8142,2.5319331859494,20615,180,2017-03-19,2017-03-19
2017-03-18,20.66,"Website Registrations Completed",,,7300,2.5958904109589,18950,164,2017-03-18,2017-03-18
2017-03-17,18.15,"Website Registrations Completed",,,7201,2.6036661574781,18749,139,2017-03-17,2017-03-17
2017-03-16,17,"Website Registrations Completed",,,7285,2.1331503088538,15540,146,2017-03-16,2017-03-16
2017-03-15,19.95,"Website Registrations Completed",1,,9718,2.3490430129656,22828,186,2017-03-15,2017-03-15
2017-03-14,18.34,"Website Registrations Completed",,,7608,2.6318349106204,20023,157,2017-03-14,2017-03-14
2017-03-13,18.66,"Website Registrations Completed",,,9562,2.4735411001882,23652,216,2017-03-13,2017-03-13
2017-03-12,30.71,"Website Registrations Completed",,,17766,2.569458516267,45649,598,2017-03-12,2017-03-12
2017-03-11,45.89,"Website Registrations Completed",,,20982,3.0460871222953,63913,745,2017-03-11,2017-03-11
2017-03-10,41.22,"Website Registrations Completed",1,,14653,3.4107691257763,49978,331,2017-03-10,2017-03-10
2017-03-09,21.2,"Website Registrations Completed",1,,8032,2.1929780876494,17614,77,2017-03-09,2017-03-09
2017-03-08,26.56,"Website Registrations Completed",,,9446,2.2488884183781,21243,107,2017-03-08,2017-03-08
2017-03-07,26.26,"Website Registrations Completed",,,8589,1.6372103853766,14062,67,2017-03-07,2017-03-07
2017-03-06,14.03,"Website Registrations Completed",,,6054,1.296167822927,7847,33,2017-03-06,2017-03-06
2017-03-05,12.39,"Website Registrations Completed",8,,7235,1.5108500345543,10931,111,2017-03-05,2017-03-05
2017-03-04,22.85,"Website Registrations Completed",,,9757,1.511530183458,14748,121,2017-03-04,2017-03-04
2017-03-03,25.22,"Website Registrations Completed",5,,10043,1.354874041621,13607,120,2017-03-03,2017-03-03
2017-03-02,52.47,"Website Registrations Completed",3,,20750,1.7621204819277,36564,321,2017-03-02,2017-03-02
2017-03-01,79.19,"Website Registrations Completed",6,,28603,1.9322099080516,55267,524,2017-03-01,2017-03-01
2017-02-28,8.47,"Website Registrations Completed",1,,5826,1.294198420872,7540,65,2017-02-28,2017-02-28
