Day,Amount Spent (USD),Result Type,Results,Reporting Starts,Reporting Ends
10/14/17,44.14,Website Registrations Completed,3,10/14/17,10/14/17
10/14/17,8.21,,,10/14/17,10/14/17
10/13/17,1.727916918,,,10/13/17,10/13/17
10/13/17,12.37508128,,,10/13/17,10/13/17
10/13/17,2.487001806,,,10/13/17,10/13/17
10/12/17,2.08,,,10/12/17,10/12/17
10/12/17,1.73,,,10/12/17,10/12/17
10/12/17,12.77,Website Registrations Completed,2,10/12/17,10/12/17
10/11/17,2.6,,,10/11/17,10/11/17
10/11/17,13.95,Website Registrations Completed,2,10/11/17,10/11/17
10/11/17,1.49,,,10/11/17,10/11/17
10/11/17,0,,,10/11/17,10/11/17
10/10/17,4.65,,,10/10/17,10/10/17
10/10/17,37.09,Website Registrations Completed,2,10/10/17,10/10/17
10/10/17,6.42,,,10/10/17,10/10/17
10/9/17,6.45,,,10/9/17,10/9/17
10/9/17,3.56,,,10/9/17,10/9/17
10/9/17,30.55,Website Registrations Completed,2,10/9/17,10/9/17
10/8/17,0.36,,,10/8/17,10/8/17
10/8/17,0.78,,,10/8/17,10/8/17
10/8/17,2.14,,,10/8/17,10/8/17
10/7/17,0.22,,,10/7/17,10/7/17
10/7/17,0.34,,,10/7/17,10/7/17
10/7/17,1.2,,,10/7/17,10/7/17
10/6/17,12.17,,,10/6/17,10/6/17
10/6/17,2.55,,,10/6/17,10/6/17
10/6/17,4.26,,,10/6/17,10/6/17
10/5/17,5,,,10/5/17,10/5/17
10/5/17,14.41,,,10/5/17,10/5/17
10/5/17,2.79,,,10/5/17,10/5/17
10/4/17,3.92770041,Website Registrations Completed,1,10/4/17,10/4/17
10/4/17,11.11349327,Website Registrations Completed,2,10/4/17,10/4/17
10/4/17,2.038806319,,,10/4/17,10/4/17
10/3/17,1.91,Website Registrations Completed,1,10/3/17,10/3/17
10/3/17,5.43,,,10/3/17,10/3/17
10/3/17,0.97,,,10/3/17,10/3/17
9/30/17,0.02,,,9/30/17,9/30/17
9/30/17,0.19,,,9/30/17,9/30/17
9/30/17,0.03,,,9/30/17,9/30/17
9/29/17,0.63,,,9/29/17,9/29/17
9/29/17,2.28,,,9/29/17,9/29/17
9/29/17,0.4,,,9/29/17,9/29/17
9/28/17,0.84,,,9/28/17,9/28/17
9/28/17,2.63,,,9/28/17,9/28/17
9/28/17,0.45,,,9/28/17,9/28/17
9/27/17,3.26,,,9/27/17,9/27/17
9/27/17,7.72,,,9/27/17,9/27/17
9/27/17,1.54,,,9/27/17,9/27/17
9/26/17,7.06,,,9/26/17,9/26/17
9/26/17,1.39,,,9/26/17,9/26/17
9/26/17,2.74,,,9/26/17,9/26/17
9/13/17,3.328033077,,,9/13/17,9/13/17
9/13/17,13.59196692,,,9/13/17,9/13/17
9/12/17,25.63213014,Website Registrations Completed,1,9/12/17,9/12/17
9/12/17,6.937869859,,,9/12/17,9/12/17
9/11/17,43.89216491,,,9/11/17,9/11/17
9/11/17,12.12783509,,,9/11/17,9/11/17
9/10/17,35.25,Website Registrations Completed,2,9/10/17,9/10/17
9/10/17,10.04,,,9/10/17,9/10/17
9/9/17,28.2,,,9/9/17,9/9/17
9/9/17,6.64,,,9/9/17,9/9/17
9/8/17,10.61524832,,,9/8/17,9/8/17
9/8/17,34.06475168,Website Registrations Completed,1,9/8/17,9/8/17
9/7/17,7.03,Website Registrations Completed,1,9/7/17,9/7/17
9/7/17,23.23,,,9/7/17,9/7/17
9/6/17,23.52,Website Registrations Completed,1,9/6/17,9/6/17
9/6/17,7.72,,,9/6/17,9/6/17
9/5/17,28.82227285,Website Registrations Completed,1,9/5/17,9/5/17
9/5/17,8.477727151,Website Registrations Completed,1,9/5/17,9/5/17
9/4/17,18.75213747,Website Registrations Completed,2,9/4/17,9/4/17
9/4/17,5.097862531,,,9/4/17,9/4/17
8/30/17,0.31,,,8/30/17,8/30/17
8/30/17,0.91,,,8/30/17,8/30/17
8/29/17,2.31,,,8/29/17,8/29/17
8/29/17,5.62,,,8/29/17,8/29/17
8/28/17,4.22,,,8/28/17,8/28/17
8/28/17,9.39,,,8/28/17,8/28/17
8/27/17,4.11,,,8/27/17,8/27/17
8/27/17,0.03,,,8/27/17,8/27/17
8/27/17,11.63,,,8/27/17,8/27/17
8/26/17,0,,,8/26/17,8/26/17
8/26/17,0.260512484,,,8/26/17,8/26/17
8/26/17,11.01166229,,,8/26/17,8/26/17
8/26/17,3.97782523,,,8/26/17,8/26/17
8/25/17,3.98,,,8/25/17,8/25/17
8/25/17,37,,,8/25/17,8/25/17
8/25/17,8.41,,,8/25/17,8/25/17
8/24/17,17.93,,,8/24/17,8/24/17
8/24/17,0.05,,,8/24/17,8/24/17
8/23/17,34.6,,,8/23/17,8/23/17
8/22/17,0.7,,,8/22/17,8/22/17
8/22/17,1.91,,,8/22/17,8/22/17
8/21/17,1.27,,,8/21/17,8/21/17
8/21/17,1.06,,,8/21/17,8/21/17
8/20/17,0.82,,,8/20/17,8/20/17
8/20/17,0.64,,,8/20/17,8/20/17
8/19/17,1.26,,,8/19/17,8/19/17
8/19/17,0.83,,,8/19/17,8/19/17
8/18/17,1.36,,,8/18/17,8/18/17
8/18/17,0.95,,,8/18/17,8/18/17
8/17/17,1.49,,,8/17/17,8/17/17
8/17/17,1.14,,,8/17/17,8/17/17
8/16/17,1.68,,,8/16/17,8/16/17
8/16/17,1.94,,,8/16/17,8/16/17
8/15/17,3.88,,,8/15/17,8/15/17
8/15/17,3.05,,,8/15/17,8/15/17
8/14/17,6.48,,,8/14/17,8/14/17
8/14/17,4.01,,,8/14/17,8/14/17
8/13/17,8.25,,,8/13/17,8/13/17
8/13/17,5.03,,,8/13/17,8/13/17
8/12/17,19.05,,,8/12/17,8/12/17
8/11/17,24.17,,,8/11/17,8/11/17
8/10/17,35.21,Website Registrations Completed,2,8/10/17,8/10/17
8/9/17,25.45,,,8/9/17,8/9/17
8/8/17,22.34,Website Registrations Completed,1,8/8/17,8/8/17
8/7/17,27.53,,,8/7/17,8/7/17
8/6/17,13.1,Website Registrations Completed,1,8/6/17,8/6/17
8/5/17,17.78,,,8/5/17,8/5/17
8/4/17,32.74,,,8/4/17,8/4/17
8/3/17,22.2,Website Registrations Completed,1,8/3/17,8/3/17
8/2/17,38.37,Website Registrations Completed,2,8/2/17,8/2/17
8/1/17,23.6,Website Registrations Completed,1,8/1/17,8/1/17
7/31/17,21.82,,,7/31/17,7/31/17
7/30/17,23.6,,,7/30/17,7/30/17
7/29/17,44.23,,,7/29/17,7/29/17
7/29/17,3.29,,,7/29/17,7/29/17
7/28/17,52.27,Website Registrations Completed,1,7/28/17,7/28/17
7/28/17,4.62,,,7/28/17,7/28/17
7/27/17,71.29534661,Website Registrations Completed,3,7/27/17,7/27/17
7/27/17,6.97465339,,,7/27/17,7/27/17
7/26/17,82.10095406,Website Registrations Completed,2,7/26/17,7/26/17
7/26/17,8.65904594,,,7/26/17,7/26/17
7/25/17,68.08,Website Registrations Completed,1,7/25/17,7/25/17
7/25/17,4.32,Website Registrations Completed,1,7/25/17,7/25/17
7/24/17,77.36,Website Registrations Completed,2,7/24/17,7/24/17
7/23/17,32.95,Website Registrations Completed,3,7/23/17,7/23/17
7/22/17,1.22,,,7/22/17,7/22/17
7/21/17,1.45,,,7/21/17,7/21/17
7/20/17,0.73,,,7/20/17,7/20/17
7/19/17,2.35,,,7/19/17,7/19/17
7/18/17,17.33,,,7/18/17,7/18/17
7/18/17,0.14,,,7/18/17,7/18/17
7/17/17,0.657238494,,,7/17/17,7/17/17
7/17/17,1.722761506,,,7/17/17,7/17/17
7/16/17,0.2,,,7/16/17,7/16/17
7/16/17,0.7,,,7/16/17,7/16/17
7/15/17,0.54,,,7/15/17,7/15/17
7/15/17,0.3,,,7/15/17,7/15/17
7/14/17,1.22,,,7/14/17,7/14/17
7/14/17,0.5,,,7/14/17,7/14/17
7/13/17,0.9,,,7/13/17,7/13/17
7/13/17,0.46,,,7/13/17,7/13/17
7/12/17,1.24,,,7/12/17,7/12/17
7/12/17,0.59,,,7/12/17,7/12/17
7/11/17,3.51,,,7/11/17,7/11/17
7/11/17,1.99,,,7/11/17,7/11/17
7/10/17,4.49,,,7/10/17,7/10/17
7/10/17,2.59,,,7/10/17,7/10/17
7/9/17,2.26,Website Registrations Completed,1,7/9/17,7/9/17
7/9/17,3,,,7/9/17,7/9/17
7/8/17,1.48,,,7/8/17,7/8/17
7/8/17,0.91,,,7/8/17,7/8/17
7/7/17,1.34,,,7/7/17,7/7/17
7/7/17,0.59,,,7/7/17,7/7/17
7/6/17,2.474865424,,,7/6/17,7/6/17
7/6/17,2.345134576,,,7/6/17,7/6/17
7/5/17,7.52,,,7/5/17,7/5/17
7/5/17,5.48,,,7/5/17,7/5/17
7/4/17,11.97,,,7/4/17,7/4/17
7/4/17,7.33,Website Registrations Completed,2,7/4/17,7/4/17
7/3/17,4.82,Website Registrations Completed,1,7/3/17,7/3/17
7/2/17,7.991091314,,,7/2/17,7/2/17
7/2/17,0.978908686,,,7/2/17,7/2/17
7/1/17,1.29,,,7/1/17,7/1/17
6/30/17,0.519237537,,,6/30/17,6/30/17
6/30/17,6.290762463,,,6/30/17,6/30/17
6/29/17,1.338700711,,,6/29/17,6/29/17
6/29/17,29.57129929,,,6/29/17,6/29/17
6/28/17,1.37,,,6/28/17,6/28/17
6/28/17,29.88,Website Registrations Completed,1,6/28/17,6/28/17
6/27/17,3.59,,,6/27/17,6/27/17
6/26/17,4.69,,,6/26/17,6/26/17
6/25/17,7.68,,,6/25/17,6/25/17
6/24/17,1.41,,,6/24/17,6/24/17
6/23/17,2.85,,,6/23/17,6/23/17
6/22/17,8.14,,,6/22/17,6/22/17
6/21/17,17.52,,,6/21/17,6/21/17
6/18/17,4.71,,,6/18/17,6/18/17
6/16/17,7.87,,,6/16/17,6/16/17
6/15/17,12.33,,,6/15/17,6/15/17
6/14/17,13.72,,,6/14/17,6/14/17
6/13/17,3.97,,,6/13/17,6/13/17
6/12/17,2.59,,,6/12/17,6/12/17
6/11/17,2.1,,,6/11/17,6/11/17
6/10/17,2.67,,,6/10/17,6/10/17
6/9/17,2.14,,,6/9/17,6/9/17
6/8/17,0.86,,,6/8/17,6/8/17
6/7/17,8.14,,,6/7/17,6/7/17
6/6/17,11.09,,,6/6/17,6/6/17
6/5/17,16.58,Website Registrations Completed,1,6/5/17,6/5/17
6/4/17,2.14,,,6/4/17,6/4/17
6/3/17,3.14,,,6/3/17,6/3/17
6/2/17,4.7,,,6/2/17,6/2/17
6/1/17,6.07,,,6/1/17,6/1/17
5/31/17,3.09,,,5/31/17,5/31/17
5/30/17,3.81,,,5/30/17,5/30/17
5/29/17,4,,,5/29/17,5/29/17
5/28/17,3.9,,,5/28/17,5/28/17
5/27/17,1.84,,,5/27/17,5/27/17
5/26/17,7.01,,,5/26/17,5/26/17
5/25/17,11.32,,,5/25/17,5/25/17
5/24/17,16.22,Website Registrations Completed,1,5/24/17,5/24/17
5/23/17,17.9,Website Registrations Completed,1,5/23/17,5/23/17
5/22/17,18.53,,,5/22/17,5/22/17
5/21/17,0.519740907,,,5/21/17,5/21/17
5/21/17,19.54025909,,,5/21/17,5/21/17
5/20/17,1.60759821,,,5/20/17,5/20/17
5/20/17,18.47240179,Website Registrations Completed,2,5/20/17,5/20/17
5/19/17,7.57,,,5/19/17,5/19/17
5/19/17,0.79,,,5/19/17,5/19/17
5/18/17,12.27676056,,,5/18/17,5/18/17
5/18/17,1.133239437,,,5/18/17,5/18/17
5/17/17,0.97,,,5/17/17,5/17/17
5/17/17,9.67,,,5/17/17,5/17/17
5/17/17,0.01,,,5/17/17,5/17/17
5/16/17,0.99,,,5/16/17,5/16/17
5/16/17,11.43,Website Registrations Completed,1,5/16/17,5/16/17
5/15/17,0.9,,,5/15/17,5/15/17
5/15/17,8.64,,,5/15/17,5/15/17
5/14/17,10.49,,,5/14/17,5/14/17
5/14/17,0.96,,,5/14/17,5/14/17
5/13/17,7.54,,,5/13/17,5/13/17
5/13/17,0.77,,,5/13/17,5/13/17
5/12/17,10.57,,,5/12/17,5/12/17
5/12/17,0.93,,,5/12/17,5/12/17
5/11/17,9.08,,,5/11/17,5/11/17
5/11/17,0.64,,,5/11/17,5/11/17
5/10/17,8.83,,,5/10/17,5/10/17
5/10/17,0.83,,,5/10/17,5/10/17
5/9/17,0.859102296,,,5/9/17,5/9/17
5/9/17,8.710897704,,,5/9/17,5/9/17
5/8/17,1.02,,,5/8/17,5/8/17
5/8/17,8.85,Website Registrations Completed,1,5/8/17,5/8/17
5/7/17,0.709296333,,,5/7/17,5/7/17
5/7/17,9.370703667,,,5/7/17,5/7/17
5/6/17,0.98,,,5/6/17,5/6/17
5/6/17,9.84,,,5/6/17,5/6/17
5/5/17,0.92,,,5/5/17,5/5/17
5/5/17,8.79,,,5/5/17,5/5/17
5/4/17,9.07,Website Registrations Completed,1,5/4/17,5/4/17
5/4/17,0.65,,,5/4/17,5/4/17
5/3/17,0.80840079,,,5/3/17,5/3/17
5/3/17,9.30159921,Website Registrations Completed,1,5/3/17,5/3/17
5/2/17,0.62,,,5/2/17,5/2/17
5/2/17,9.48,,,5/2/17,5/2/17
5/1/17,0.75,,,5/1/17,5/1/17
5/1/17,9.41,Website Registrations Completed,1,5/1/17,5/1/17
4/30/17,0.63,,,4/30/17,4/30/17
4/30/17,8.75,,,4/30/17,4/30/17
4/29/17,8.61,,,4/29/17,4/29/17
4/29/17,0.67,,,4/29/17,4/29/17
4/28/17,12.66,Website Registrations Completed,3,4/28/17,4/28/17
4/28/17,1.1,Website Registrations Completed,1,4/28/17,4/28/17
4/27/17,20.97,,,4/27/17,4/27/17
4/27/17,1.86,,,4/27/17,4/27/17
4/26/17,2.176929577,,,4/26/17,4/26/17
4/26/17,26.18307042,Website Registrations Completed,2,4/26/17,4/26/17
4/25/17,2.690220934,,,4/25/17,4/25/17
4/25/17,24.81977907,Website Registrations Completed,2,4/25/17,4/25/17
4/24/17,2.388116627,,,4/24/17,4/24/17
4/24/17,22.97188337,,,4/24/17,4/24/17
4/23/17,2.034121037,,,4/23/17,4/23/17
4/23/17,22.18587896,Website Registrations Completed,1,4/23/17,4/23/17
4/22/17,1.488967429,,,4/22/17,4/22/17
4/22/17,12.93103257,,,4/22/17,4/22/17
4/21/17,20.32274474,Website Registrations Completed,2,4/21/17,4/21/17
4/21/17,1.497255261,,,4/21/17,4/21/17
4/20/17,1.8281917,,,4/20/17,4/20/17
4/20/17,18.3918083,Website Registrations Completed,1,4/20/17,4/20/17
4/19/17,2.159090143,,,4/19/17,4/19/17
4/19/17,21.57090986,Website Registrations Completed,1,4/19/17,4/19/17
4/18/17,1.913975796,,,4/18/17,4/18/17
4/18/17,20.3260242,Website Registrations Completed,5,4/18/17,4/18/17
4/17/17,0.777531646,,,4/17/17,4/17/17
4/17/17,14.97246835,,,4/17/17,4/17/17
4/17/17,0,,,4/17/17,4/17/17
4/16/17,20.15,,,4/16/17,4/16/17
4/15/17,22.49,,,4/15/17,4/15/17
4/14/17,22,,,4/14/17,4/14/17
4/13/17,9.36,,,4/13/17,4/13/17
4/12/17,9.88,,,4/12/17,4/12/17
4/11/17,10.41,Website Registrations Completed,1,4/11/17,4/11/17
4/10/17,9.6,,,4/10/17,4/10/17
4/9/17,9.65,,,4/9/17,4/9/17
4/8/17,11.09,,,4/8/17,4/8/17
4/7/17,10.5,,,4/7/17,4/7/17
4/6/17,9.34,,,4/6/17,4/6/17
4/5/17,12.98,Website Registrations Completed,1,4/5/17,4/5/17
4/4/17,10.46,,,4/4/17,4/4/17
4/3/17,12.01,,,4/3/17,4/3/17
4/2/17,15.23,,,4/2/17,4/2/17
4/1/17,5.83,,,4/1/17,4/1/17
3/31/17,5.32,,,3/31/17,3/31/17
3/30/17,5.53,,,3/30/17,3/30/17
3/29/17,5.22,,,3/29/17,3/29/17
3/28/17,5.29,,,3/28/17,3/28/17
3/27/17,9.02,Website Registrations Completed,1,3/27/17,3/27/17
3/26/17,19.92,,,3/26/17,3/26/17
3/25/17,22.5,Website Registrations Completed,1,3/25/17,3/25/17
3/24/17,23.06,,,3/24/17,3/24/17
3/23/17,20.13,,,3/23/17,3/23/17
3/22/17,19.6,Website Registrations Completed,1,3/22/17,3/22/17
3/21/17,19.31,,,3/21/17,3/21/17
3/20/17,19.41,,,3/20/17,3/20/17
3/19/17,20.24,Website Registrations Completed,1,3/19/17,3/19/17
3/18/17,20.66,,,3/18/17,3/18/17
3/18/17,0,,,3/18/17,3/18/17
3/17/17,18.15,,,3/17/17,3/17/17
3/16/17,17,,,3/16/17,3/16/17
3/15/17,16.93,Website Registrations Completed,1,3/15/17,3/15/17
3/15/17,3.02,,,3/15/17,3/15/17
3/14/17,15.01,,,3/14/17,3/14/17
3/14/17,3.33,,,3/14/17,3/14/17
3/13/17,3.87,,,3/13/17,3/13/17
3/13/17,14.79,,,3/13/17,3/13/17
3/12/17,5.69,,,3/12/17,3/12/17
3/12/17,0,,,3/12/17,3/12/17
3/12/17,25.02,,,3/12/17,3/12/17
3/11/17,36.2,,,3/11/17,3/11/17
3/11/17,9.69,,,3/11/17,3/11/17
3/10/17,31.26,Website Registrations Completed,1,3/10/17,3/10/17
3/10/17,9.96,,,3/10/17,3/10/17
3/9/17,16.96,Website Registrations Completed,1,3/9/17,3/9/17
3/9/17,4.24,,,3/9/17,3/9/17
3/8/17,7.304949928,,,3/8/17,3/8/17
3/8/17,19.25505007,,,3/8/17,3/8/17
3/7/17,6.609931559,,,3/7/17,3/7/17
3/7/17,19.65006844,,,3/7/17,3/7/17
3/6/17,4.25,,,3/6/17,3/6/17
3/6/17,9.78,,,3/6/17,3/6/17
3/5/17,12.39,Website Registrations Completed,8,3/5/17,3/5/17
3/4/17,22.85,,,3/4/17,3/4/17
3/3/17,25.22,Website Registrations Completed,5,3/3/17,3/3/17
3/2/17,52.47,Website Registrations Completed,3,3/2/17,3/2/17
3/1/17,79.19,Website Registrations Completed,6,3/1/17,3/1/17
2/28/17,8.47,Website Registrations Completed,1,2/28/17,2/28/17
