Day,Amount Spent (USD),Result Type,Results,Reporting Starts,Reporting Ends
12/5/18,2.74,Website Registrations Completed,3,12/5/18,12/5/18
12/4/18,8.21,Website Registrations Completed,6,12/4/18,12/4/18
12/4/18,0.38,Website Registrations Completed,1,12/4/18,12/4/18
11/30/18,4.25,,,11/30/18,11/30/18
11/30/18,48.4,,,11/30/18,11/30/18
11/30/18,3.28,,,11/30/18,11/30/18
11/29/18,7.65,,,11/29/18,11/29/18
11/29/18,116.52,,,11/29/18,11/29/18
11/29/18,10.35,,,11/29/18,11/29/18
11/28/18,1.55,,,11/28/18,11/28/18
11/28/18,15.73,,,11/28/18,11/28/18
11/28/18,1.97,,,11/28/18,11/28/18
11/27/18,10.86,Website Registrations Completed,2,11/27/18,11/27/18
11/27/18,2.9,,,11/27/18,11/27/18
11/27/18,0.97,,,11/27/18,11/27/18
11/26/18,2.54,,,11/26/18,11/26/18
11/26/18,11.72,,,11/26/18,11/26/18
11/26/18,0.73,,,11/26/18,11/26/18
11/25/18,0.1,,,11/25/18,11/25/18
11/25/18,3.06,,,11/25/18,11/25/18
11/25/18,14.61,Website Registrations Completed,1,11/25/18,11/25/18
11/25/18,2.1,,,11/25/18,11/25/18
11/24/18,0.21,,,11/24/18,11/24/18
11/24/18,7.68,,,11/24/18,11/24/18
11/24/18,25.96,,,11/24/18,11/24/18
11/24/18,2.47,Website Registrations Completed,1,11/24/18,11/24/18
11/23/18,36.62,,,11/23/18,11/23/18
11/23/18,2.92,,,11/23/18,11/23/18
11/23/18,9.24,,,11/23/18,11/23/18
11/23/18,0.27,,,11/23/18,11/23/18
11/22/18,0.43,,,11/22/18,11/22/18
11/22/18,10.61,Website Registrations Completed,1,11/22/18,11/22/18
11/22/18,27.86,,,11/22/18,11/22/18
11/22/18,6.23,,,11/22/18,11/22/18
11/21/18,0.16,,,11/21/18,11/21/18
11/21/18,5.14,,,11/21/18,11/21/18
11/21/18,10.14,Website Registrations Completed,2,11/21/18,11/21/18
11/21/18,2.8,,,11/21/18,11/21/18
11/20/18,0.211,,,11/20/18,11/20/18
11/20/18,1.647809524,,,11/20/18,11/20/18
11/20/18,0.040190476,,,11/20/18,11/20/18
11/20/18,0.211,,,11/20/18,11/20/18
11/19/18,0.18,,,11/19/18,11/19/18
11/19/18,0.3,,,11/19/18,11/19/18
11/19/18,2.43,,,11/19/18,11/19/18
11/18/18,0.11,,,11/18/18,11/18/18
11/18/18,2.69,,,11/18/18,11/18/18
11/18/18,0.41,,,11/18/18,11/18/18
11/17/18,0.13,,,11/17/18,11/17/18
11/17/18,2.2,Website Registrations Completed,1,11/17/18,11/17/18
11/16/18,0.19,,,11/16/18,11/16/18
11/16/18,2.14,,,11/16/18,11/16/18
11/15/18,13.33,,,11/15/18,11/15/18
11/15/18,1.41,,,11/15/18,11/15/18
11/15/18,4.39,,,11/15/18,11/15/18
11/15/18,1.04,,,11/15/18,11/15/18
11/14/18,0.77,,,11/14/18,11/14/18
11/14/18,9.16,,,11/14/18,11/14/18
11/14/18,34.28,,,11/14/18,11/14/18
11/14/18,4.64,,,11/14/18,11/14/18
11/13/18,0.92,,,11/13/18,11/13/18
11/13/18,11.38,,,11/13/18,11/13/18
11/13/18,28.26,Website Registrations Completed,3,11/13/18,11/13/18
11/13/18,5.91,,,11/13/18,11/13/18
11/12/18,3.33,,,11/12/18,11/12/18
11/12/18,16.99,,,11/12/18,11/12/18
11/12/18,7.62,,,11/12/18,11/12/18
11/12/18,0.17,,,11/12/18,11/12/18
11/11/18,0.16,,,11/11/18,11/11/18
11/11/18,1.86,Website Registrations Completed,1,11/11/18,11/11/18
11/9/18,0.24,,,11/9/18,11/9/18
11/9/18,2.86,Website Registrations Completed,2,11/9/18,11/9/18
11/8/18,0.83,,,11/8/18,11/8/18
11/8/18,8.99,Website Registrations Completed,3,11/8/18,11/8/18
11/7/18,3.88,Website Registrations Completed,2,11/7/18,11/7/18
11/7/18,0.32,,,11/7/18,11/7/18
11/6/18,2.06,,,11/6/18,11/6/18
11/6/18,0.19,,,11/6/18,11/6/18
11/4/18,0.48,,,11/4/18,11/4/18
11/4/18,4.67,Website Registrations Completed,2,11/4/18,11/4/18
11/3/18,0.76,,,11/3/18,11/3/18
11/3/18,7.24,Website Registrations Completed,2,11/3/18,11/3/18
11/2/18,1.14,,,11/2/18,11/2/18
11/2/18,0.99,,,11/2/18,11/2/18
11/2/18,5.93,,,11/2/18,11/2/18
11/2/18,0.1,,,11/2/18,11/2/18
11/1/18,1.75,,,11/1/18,11/1/18
11/1/18,1.69,,,11/1/18,11/1/18
