Age,Amount Spent (USD),Reach
45-54,0.49,399
35-44,2.27,1374
35-44,0.65,494
25-34,0.22,179
55-64,0.01,7
45-54,0.31,143
55-64,0.04,30
45-54,0.46,300
35-44,1.77,1135
25-34,0.99,543
55-64,0.03,20
45-54,0.7,348
35-44,4.93,1682
25-34,3.55,1398
55-64,0.04,21
45-54,0.78,360
35-44,6.28,2047
25-34,4.29,1704
35-44,5.78,1774
25-34,5.02,1882
45-54,0.9,320
55-64,0.04,15
25-34,10.38,3860
35-44,11.02,2978
45-54,1.49,504
55-64,0.08,34
55-64,0.04,20
45-54,0.9,378
35-44,6.64,2178
25-34,5.71,2578
55-64,0.05,25
45-54,0.45,265
35-44,1.78,945
25-34,1.54,764
55-64,0.09,30
45-54,1.02,453
35-44,3.85,1698
25-34,4.06,1967
25-34,4.78,2678
35-44,3.28,1672
45-54,1.6,570
55-64,0.47,150
55-64,0.34,122
45-54,0.78,450
35-44,1.44,1035
25-34,1.98,1792
35-44,13.29,3856
18-24,0.43,348
25-34,15.82,6012
45-54,2.07,692
55-64,0.19,112
65+,0.08,35
18-24,0.57,440
65+,0.08,44
55-64,0.2,156
45-54,3.19,964
35-44,15.67,5496
25-34,20.44,8516
45-54,2.43,800
18-24,0.86,496
25-34,15.23,5736
65+,0.04,32
35-44,10.55,3266
55-64,0.26,118
35-44,9.71,3100
25-34,12.17,4996
18-24,0.94,562
45-54,3.39,820
55-64,0.24,156
65+,0.13,40
65+,0.05,40
55-64,0.25,188
45-54,3.55,824
35-44,21.55,4144
25-34,23.26,6856
18-24,0.9,496
35-44,2.83,1259
18-24,0.09,219
25-34,2.35,1725
55-64,0.04,70
45-54,1.16,492
65+,0,8
55-64,0.09,35
45-54,0.85,407
35-44,0.58,647
25-34,0.43,597
18-24,0.06,138
55-64,0.08,29
45-54,0.59,314
35-44,0.56,541
25-34,0.43,575
18-24,0.12,141
35-44,0.57,539
25-34,0.54,694
18-24,0.1,167
45-54,0.53,325
55-64,0.08,31
55-64,0.09,31
45-54,0.66,311
35-44,2.22,936
25-34,10.43,3732
18-24,0.12,130
35-44,0.65,565
18-24,0.08,160
